,Latitude,Longitude,Elevation,Time
0,52.4569257069,-1.9439207576,169.81,2017-07-25 07:42:52
1,52.4568822049,-1.9435853139,169.33,2017-07-25 07:43:13
2,52.4568357691,-1.9434190169,171.73,2017-07-25 07:43:21
3,52.4568592384,-1.9433491956,169.81,2017-07-25 07:43:26
4,52.4568527006,-1.9429764524,168.85,2017-07-25 07:43:48
5,52.4568540417,-1.9426586945,168.85,2017-07-25 07:44:07
6,52.4568433128,-1.9423270226,168.85,2017-07-25 07:44:25
7,52.4568205141,-1.9419990387,169.33,2017-07-25 07:44:42
8,52.4567739107,-1.9417133834,168.85,2017-07-25 07:45:00
9,52.4567292351,-1.9414760917,167.89,2017-07-25 07:45:16
10,52.4566895049,-1.9412988983,167.41,2017-07-25 07:45:26
11,52.4566782732,-1.9411529694,165.48,2017-07-25 07:45:36
12,52.4566691369,-1.9410201162,164.04,2017-07-25 07:45:40
13,52.4565706495,-1.940878043,161.64,2017-07-25 07:45:51
14,52.4565054383,-1.940835882,159.72,2017-07-25 07:45:59
15,52.4563129898,-1.9408805575,160.2,2017-07-25 07:46:13
16,52.4561461061,-1.9409311004,165.0,2017-07-25 07:46:30
17,52.4558996782,-1.9409885164,168.37,2017-07-25 07:46:49
18,52.4558363948,-1.9409481157,169.81,2017-07-25 07:46:53
19,52.4556615483,-1.9409779552,170.77,2017-07-25 07:47:08
20,52.4555317126,-1.9410096388,171.25,2017-07-25 07:47:21
21,52.4554514978,-1.9410093874,172.21,2017-07-25 07:47:32
22,52.4554331414,-1.9410020113,173.17,2017-07-25 07:47:34
23,52.4552588817,-1.9410010055,177.98,2017-07-25 07:47:48
24,52.455138769,-1.9410278276,178.94,2017-07-25 07:48:01
25,52.4551145453,-1.9410437532,179.9,2017-07-25 07:48:06
26,52.4550680257,-1.9410638697,180.87,2017-07-25 07:48:10
27,52.4548759125,-1.9410689827,187.59,2017-07-25 07:48:22
28,52.4546930194,-1.9410454296,193.84,2017-07-25 07:48:36
29,52.454595957,-1.9410599303,197.69,2017-07-25 07:48:46
30,52.4545682967,-1.9410597626,199.61,2017-07-25 07:48:49
31,52.4544896744,-1.9410461839,201.05,2017-07-25 07:48:55
32,52.4543455895,-1.9410597626,205.86,2017-07-25 07:49:08
33,52.4540455174,-1.941172583,208.74,2017-07-25 07:49:22
34,52.4538375624,-1.9412886724,206.82,2017-07-25 07:49:35
35,52.4536759593,-1.9413376227,205.86,2017-07-25 07:49:49
36,52.4536444433,-1.9413444959,205.86,2017-07-25 07:49:52
37,52.4534307048,-1.9413382094,202.01,2017-07-25 07:50:06
38,52.4532849435,-1.9413239602,201.05,2017-07-25 07:50:20
